Date,Country,City,Specie,median,variance
01/02/2020,GB,Edinburgh,pm10,6,213.9
01/02/2020,GB,Edinburgh,pressure,987.1,541.88
01/02/2020,GB,Edinburgh,so2,2.1,23.91
01/02/2020,GB,Edinburgh,no2,8.3,1002.5
01/02/2020,GB,Edinburgh,wind gust,19,1955.01
01/02/2020,GB,Edinburgh,dew,6,28.43
01/02/2020,GB,Edinburgh,temperature,7.2,31.29
01/02/2020,GB,Edinburgh,humidity,87.3,323.94
01/02/2020,GB,Edinburgh,wind speed,7.8,714.67
01/02/2020,GB,Edinburgh,co,0.6,1
01/02/2020,GB,Edinburgh,o3,28.5,394.96
01/02/2020,GB,Edinburgh,pm25,13,1232.17
01/02/2020,GB,Norwich,pm10,10,497.05
01/02/2020,GB,Norwich,o3,28.5,118.42
01/02/2020,GB,Norwich,pm25,25,2444.47
01/02/2020,GB,Norwich,no2,3.4,2540.21
01/02/2020,GB,Norwich,wind gust,6.4,48.18
01/02/2020,GB,Norwich,temperature,10.5,14.88
01/02/2020,GB,Norwich,humidity,92.2,1401.52
01/02/2020,GB,Norwich,wind speed,0.7,3.65
01/02/2020,GB,Norwich,pressure,998.8,92.83
01/02/2020,GB,Liverpool,pm25,25,1339.25
01/02/2020,GB,Liverpool,no2,1.4,27.14
01/02/2020,GB,Liverpool,dew,5.5,11.14
01/02/2020,GB,Liverpool,humidity,66.5,125.51
01/02/2020,GB,Liverpool,wind speed,7.7,78.77
01/02/2020,GB,Liverpool,wind gust,17.3,324.08
01/02/2020,GB,Liverpool,so2,4,2.07
01/02/2020,GB,Liverpool,o3,30.2,64.07
01/02/2020,GB,Liverpool,temperature,9,8.78
01/02/2020,GB,Liverpool,pressure,996.5,176.27
01/02/2020,GB,Liverpool,pm10,13,293.72
01/02/2020,GB,Belfast,o3,17.9,79.47
01/02/2020,GB,Belfast,dew,4.5,11.09
01/02/2020,GB,Belfast,pressure,993,402.8
01/02/2020,GB,Belfast,temperature,8.3,22.23
01/02/2020,GB,Belfast,humidity,79.8,199.55
01/02/2020,GB,Belfast,wind speed,7.7,106.42
01/02/2020,GB,Belfast,wind gust,14.7,363.54
01/02/2020,GB,Belfast,co,1,0.93
01/02/2020,GB,Belfast,pm10,15,201.38
01/02/2020,GB,Belfast,so2,1.8,0.83
01/02/2020,GB,Belfast,pm25,34,1887.66
01/02/2020,GB,Belfast,no2,11.9,816.95
01/02/2020,GB,Coventry,pm10,12,156.31
01/02/2020,GB,Coventry,pm25,29,952.54
01/02/2020,GB,Coventry,wind speed,2.6,33.66
01/02/2020,GB,Coventry,wind gust,13,323.5
01/02/2020,GB,Coventry,pressure,1001,113.15
01/02/2020,GB,Coventry,o3,29.3,70.3
01/02/2020,GB,Coventry,no2,2.8,14.16
01/02/2020,GB,Coventry,temperature,9.1,14.49
01/02/2020,GB,Coventry,humidity,81.3,1296.02
01/02/2020,GB,Leeds,wind speed,11,122.33
01/02/2020,GB,Leeds,wind gust,16.7,264.84
01/02/2020,GB,Leeds,o3,29.1,51.32
01/02/2020,GB,Leeds,no2,4.9,62.8
01/02/2020,GB,Leeds,dew,3.5,14.18
01/02/2020,GB,Leeds,co,4.3,2.97
01/02/2020,GB,Leeds,pm25,36,868.87
01/02/2020,GB,Leeds,pressure,994,944.92
01/02/2020,GB,Leeds,humidity,72.5,744.71
01/02/2020,GB,Leeds,pm10,12,190.35
01/02/2020,GB,Leeds,so2,3.2,0.18
01/02/2020,GB,Leeds,temperature,8,6.8
01/02/2020,GB,Cardiff,humidity,85.3,1301.77
01/02/2020,GB,Cardiff,wind speed,10.5,245.94
01/02/2020,GB,Cardiff,pressure,1001.3,1638.77
01/02/2020,GB,Cardiff,o3,28.5,85.98
01/02/2020,GB,Cardiff,pm25,38,1015.86
01/02/2020,GB,Cardiff,no2,4.2,208.63
01/02/2020,GB,Cardiff,wind gust,19.2,595.98
01/02/2020,GB,Cardiff,pm10,25,567.73
01/02/2020,GB,Cardiff,so2,3.1,2.2
01/02/2020,GB,Cardiff,temperature,8.8,8.75
01/02/2020,GB,Cardiff,co,2.2,0.54
01/02/2020,GB,Bristol,pm10,28,742.28
01/02/2020,GB,Bristol,pm25,53,1499.93
01/02/2020,GB,Bristol,temperature,9.4,6.49
01/02/2020,GB,Bristol,wind speed,3.3,54.97
01/02/2020,GB,Bristol,wind gust,10.8,129.71
01/02/2020,GB,Bristol,pressure,1004.9,117.97
01/02/2020,GB,Bristol,o3,28.9,69.84
01/02/2020,GB,Bristol,no2,6.1,465.08
01/02/2020,GB,Bristol,co,2.2,0.53
01/02/2020,GB,Bristol,so2,3.1,2.21
01/02/2020,GB,Bristol,humidity,82.4,501.55
01/02/2020,GB,London,humidity,75,3346.21
01/02/2020,GB,London,pressure,1004.6,224.65
01/02/2020,GB,London,dew,4,69.19
01/02/2020,GB,London,so2,3.6,25.01
01/02/2020,GB,London,pm25,31,1760.49
01/02/2020,GB,London,temperature,10.5,800.57
01/02/2020,GB,London,wind speed,7.2,262.39
01/02/2020,GB,London,co,6.5,63.53
01/02/2020,GB,London,wind gust,17.6,1270.57
01/02/2020,GB,London,o3,19.5,621.13
01/02/2020,GB,London,no2,8.9,517.04
01/02/2020,GB,London,pm10,15,695.71
01/02/2020,GB,Birmingham,pm10,12,253.75
01/02/2020,GB,Birmingham,no2,2.7,81.68
01/02/2020,GB,Birmingham,temperature,9,9.41
01/02/2020,GB,Birmingham,pressure,1000.8,114.52
01/02/2020,GB,Birmingham,o3,30.6,152.13
01/02/2020,GB,Birmingham,pm25,29,1236.98
01/02/2020,GB,Birmingham,humidity,78.5,685.86
01/02/2020,GB,Birmingham,wind speed,5.8,40.54
01/02/2020,GB,Birmingham,wind gust,10.8,340.84
01/02/2020,GB,Sheffield,pm10,11,185.28
01/02/2020,GB,Sheffield,o3,28.4,46.9
01/02/2020,GB,Sheffield,pm25,24,1148.44
01/02/2020,GB,Sheffield,temperature,8.1,6.26
01/02/2020,GB,Sheffield,pressure,996.4,161.7
01/02/2020,GB,Sheffield,no2,3.6,146.3
01/02/2020,GB,Sheffield,humidity,78.8,348.2
01/02/2020,GB,Sheffield,wind speed,3,17.73
01/02/2020,GB,Sheffield,wind gust,12.9,175.47
01/02/2020,GB,Newport,pressure,1001.3,1699.14
01/02/2020,GB,Newport,pm10,27,323.47
01/02/2020,GB,Newport,no2,2.5,51.25
01/02/2020,GB,Newport,co,2.2,0.54
01/02/2020,GB,Newport,temperature,8.8,9.56
01/02/2020,GB,Newport,wind speed,9.9,187.65
01/02/2020,GB,Newport,so2,3.1,2.27
01/02/2020,GB,Newport,o3,32.5,34.32
01/02/2020,GB,Newport,pm25,53,649.43
01/02/2020,GB,Newport,humidity,85.3,1425.15
01/02/2020,GB,Newport,wind gust,19.1,492.09
01/02/2020,GB,Leicester,so2,2.2,0.62
01/02/2020,GB,Leicester,wind speed,1.2,28.76
01/02/2020,GB,Leicester,wind gust,9.5,663.59
01/02/2020,GB,Leicester,pm10,11,292.01
01/02/2020,GB,Leicester,pm25,28,1566.67
01/02/2020,GB,Leicester,no2,5.1,166.73
01/02/2020,GB,Leicester,temperature,8.5,11.36
01/02/2020,GB,Leicester,humidity,78.7,1130.29
01/02/2020,GB,Leicester,pressure,999.1,115.24
01/02/2020,GB,Leicester,o3,24.3,174.04
01/02/2020,GB,Manchester,pm10,13,256.56
01/02/2020,GB,Manchester,pm25,38,880.03
01/02/2020,GB,Manchester,no2,5.8,228.84
01/02/2020,GB,Manchester,wind gust,15.4,369.51
01/02/2020,GB,Manchester,pressure,998.5,135.76
01/02/2020,GB,Manchester,dew,4.5,22.52
01/02/2020,GB,Manchester,o3,20,109.24
01/02/2020,GB,Manchester,so2,6.3,1.08
01/02/2020,GB,Manchester,temperature,9,9.35
01/02/2020,GB,Manchester,humidity,77.6,1123.26
01/02/2020,GB,Manchester,wind speed,7.3,113.71
01/02/2020,GB,Reading,temperature,9.7,18.67
01/02/2020,GB,Reading,wind speed,4.2,243.99
01/02/2020,GB,Reading,o3,27,80.47
01/02/2020,GB,Reading,pm25,25,666.05
01/02/2020,GB,Reading,no2,4.8,10.4
01/02/2020,GB,Reading,pressure,1004.2,117.22
01/02/2020,GB,Reading,pm10,20,343.76
01/02/2020,GB,Reading,humidity,75.8,2040.68
01/02/2020,GB,Reading,wind gust,9.7,10170
01/02/2020,GB,Plymouth,o3,27.8,39.62
01/02/2020,GB,Plymouth,pm25,44,736.57
01/02/2020,GB,Plymouth,no2,3.7,25.86
01/02/2020,GB,Plymouth,humidity,92.8,805.47
01/02/2020,GB,Plymouth,wind gust,8.6,0
01/02/2020,GB,Plymouth,pressure,1008.8,75.75
01/02/2020,GB,Plymouth,pm10,24,161.31
01/02/2020,GB,Plymouth,temperature,9.3,9.42
01/02/2020,GB,Plymouth,wind speed,2,0
01/02/2020,GB,Glasgow,wind speed,5.9,95.6
01/02/2020,GB,Glasgow,wind gust,13.5,434.34
01/02/2020,GB,Glasgow,pressure,990.5,553.79
01/02/2020,GB,Glasgow,pm10,6,271.05
01/02/2020,GB,Glasgow,no2,6.4,742.21
01/02/2020,GB,Glasgow,temperature,8,25.55
01/02/2020,GB,Glasgow,humidity,86.2,197.83
01/02/2020,GB,Glasgow,dew,5.5,50.99
01/02/2020,GB,Glasgow,o3,24.4,351.61
01/02/2020,GB,Glasgow,pm25,16,1799.43
01/02/2020,GB,Glasgow,so2,0.6,0.23
01/02/2020,GB,Preston,so2,4.5,16.72
01/02/2020,GB,Preston,humidity,74.2,1346.17
01/02/2020,GB,Preston,wind gust,16.1,426.98
01/02/2020,GB,Preston,temperature,8.2,22.67
01/02/2020,GB,Preston,wind speed,9.5,248.33
01/02/2020,GB,Preston,pressure,998.6,166.33
01/02/2020,GB,Preston,pm10,17,184.63
01/02/2020,GB,Preston,o3,25.8,169.9
01/02/2020,GB,Preston,pm25,40,862.23
01/02/2020,GB,Preston,no2,2.8,74.73
01/02/2020,GB,Swansea,humidity,89.7,2228.42
01/02/2020,GB,Swansea,pm25,46,2974.37
01/02/2020,GB,Swansea,pm10,34,1152.09
01/02/2020,GB,Swansea,o3,28.1,103.89
01/02/2020,GB,Swansea,so2,1.1,581.28
01/02/2020,GB,Swansea,no2,4.6,118.38
01/02/2020,GB,Swansea,temperature,9.3,5.37
01/02/2020,GB,Swansea,wind speed,5.5,75.67
01/02/2020,GB,Swansea,pressure,1004.6,240.07
01/02/2020,GB,Swansea,co,8.7,1881.01
