Date,City,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,merged_wind_gust,merged_wind_speed,Dplus7,Dplus7City,TotalCases,Population,daily_growth_rt_percent
19/03/2020,Belfast,2.5,1,80,12.4,19.1,20,30,1030,1.6,3,,2.5,26/03/2020,43916Belfast,75,340220,0
20/03/2020,Belfast,2.6,0,75,11.9,19.9,18,25,1033,1.6,5,,4.8,27/03/2020,43917Belfast,86,340220,114.6666667
23/03/2020,Belfast,3.3,4.5,81,9.2,19.5,29,,1021,1.7,8,,4.3,30/03/2020,43920Belfast,160,340220,186.0465116
24/03/2020,Belfast,3,5.5,72.5,5.5,27.4,32,,1016,1.6,10,12.8,5.1,31/03/2020,43921Belfast,166,340220,103.75
25/03/2020,Belfast,3.1,7.5,87,12,24.2,25,50,1021,1.8,10,,4.3,01/04/2020,43922Belfast,200,340220,120.4819277
26/03/2020,Belfast,,5.5,81,11.9,17.1,17,30,1026,0.9,7.5,,4.1,02/04/2020,43923Belfast,226,340220,113
27/03/2020,Belfast,0.7,6,87,8.3,15.5,14,21,1029,1.1,8,,4.8,03/04/2020,43924Belfast,272,340220,120.3539823
30/03/2020,Belfast,,3,75,5.5,,16,35,1040,0.9,7.5,,4.8,06/04/2020,43927Belfast,377,340220,138.6029412
31/03/2020,Belfast,,2.5,72.5,4.7,32.5,17,23,1036.5,0.7,7,,3.3,07/04/2020,43928Belfast,396,340220,105.0397878
01/04/2020,Belfast,0.9,3.5,78.5,4.9,29.7,11,21,1024.5,0.6,8,,4.1,08/04/2020,43929Belfast,429,340220,108.3333333
02/04/2020,Belfast,0.9,4.5,81,3.2,30.8,13,25,1014.5,0.7,8,12.3,4.6,09/04/2020,43930Belfast,482,340220,112.3543124
03/04/2020,Belfast,1,4.5,81,7.6,26.9,14,26,1015,1.1,8,,4.1,10/04/2020,43931Belfast,514,340220,106.6390041
08/04/2020,Belfast,1.1,6.5,73.5,8.7,22.8,18,34,1024,1.5,10.5,,3,15/04/2020,43936Belfast,649,340220,126.2645914
09/04/2020,Belfast,1.3,8,87,11,16.7,18,38,1025,2.1,10.5,,2.8,16/04/2020,43937Belfast,689,340220,106.1633282
26/04/2020,Belfast,0.4,4.5,68.5,2.9,31.3,16,46,1012,1,9,,2.8,03/05/2020,43954Belfast,1173,340220,170.2467344
27/04/2020,Belfast,0.4,4,73.5,7.8,27.1,8,13,1009,2.1,7,,2,04/05/2020,43955Belfast,1182,340220,100.7672634
28/04/2020,Belfast,0.6,5,81,6.9,24,12,25,1006,2.1,8,,3,05/05/2020,43956Belfast,1190,340220,100.676819
29/04/2020,Belfast,0.6,6,87,5.5,26.4,10,25,996,1.6,8,,3.8,06/05/2020,43957Belfast,1203,340220,101.092437
30/04/2020,Belfast,0.7,6,84,5.5,25.2,9,17,988.5,1.6,8,,4.8,07/05/2020,43958Belfast,1217,340220,101.1637573
01/05/2020,Belfast,0.5,5.5,76,5.9,25.5,8,10,997,1.6,8.5,,3.3,08/05/2020,43959Belfast,1224,340220,100.5751849
02/05/2020,Belfast,0.5,5,71,6,,10,13,1011,1.8,10,,3.3,09/05/2020,43960Belfast,1237,340220,101.0620915
03/05/2020,Belfast,0.6,4.5,71,6.9,,12,21,1017,2.1,9.5,,1.8,10/05/2020,43961Belfast,1243,340220,100.4850445
04/05/2020,Belfast,0.5,6,73.5,5.2,29.7,12,24,1022,2.1,10.5,,4.8,11/05/2020,43962Belfast,1248,340220,100.4022526
05/05/2020,Belfast,0.4,4.5,70.5,4.9,30.1,10,21,1023,1.9,9,,4.8,12/05/2020,43963Belfast,1252,340220,100.3205128
06/05/2020,Belfast,0.6,5,70,6,29.3,16,34,1025,2.1,10,,3.8,13/05/2020,43964Belfast,1258,340220,100.4792332
07/05/2020,Belfast,1,8,82,11,33,20,46,1020,2.1,11.5,,2.5,14/05/2020,43965Belfast,1264,340220,100.4769475
08/05/2020,Belfast,1.2,11,82,10.6,15.9,20,57,1017,2.6,14,,1.5,15/05/2020,43966Belfast,1267,340220,100.2373418
09/05/2020,Belfast,1.2,10.5,76,8.7,14.3,14,42,1014,2.6,14,,3,16/05/2020,43967Belfast,1276,340220,100.7103394
10/05/2020,Belfast,0.5,4,64,2.8,25.9,9,17,1018.5,2.6,9,,9.2,17/05/2020,43968Belfast,1276,340220,100
11/05/2020,Belfast,0.3,-2,56,4.2,26.4,10,13,1028,2.1,7,,5.4,18/05/2020,43969Belfast,1283,340220,100.5485893
12/05/2020,Belfast,0.5,3.5,72.5,4.2,28.5,11,16,1021.5,1.6,8,,3.6,19/05/2020,43970Belfast,1286,340220,100.233827
13/05/2020,Belfast,0.3,-1.5,56,4.2,26.9,9,13,1022,1.8,6.5,,4.3,20/05/2020,43971Belfast,1290,340220,100.311042
14/05/2020,Belfast,0.5,2,62,7.9,25.6,10,14,1025,2.1,9,,2.5,21/05/2020,43972Belfast,1294,340220,100.3100775
15/05/2020,Belfast,0.6,5,71,4.6,29.7,10,16,1026,1.9,10,,3,22/05/2020,43973Belfast,1299,340220,100.3863988
16/05/2020,Belfast,0.7,6,73.5,4.9,28.1,8,19,1023,2.1,10.5,,3.3,23/05/2020,43974Belfast,1301,340220,100.1539646
17/05/2020,Belfast,1.1,10,84,4.7,24,10,21,1019,2.1,12,12.8,4.8,24/05/2020,43975Belfast,1302,340220,100.076864
18/05/2020,Belfast,1.2,10,81,9.8,23.6,8,17,1018,2.5,13.5,,4.8,25/05/2020,43976Belfast,1308,340220,100.4608295
19/05/2020,Belfast,1.3,12.5,82,8.4,20.4,10,17,1020,3.1,15,,4.1,26/05/2020,43977Belfast,1312,340220,100.3058104
20/05/2020,Belfast,1,9.5,84,6,19.5,11,30,1018,2.5,11.5,,3.6,27/05/2020,43978Belfast,1313,340220,100.0762195
21/05/2020,Belfast,1.4,9,78.5,7.4,27.3,14,31,1016,2.6,12.5,,2.8,28/05/2020,43979Belfast,1311,340220,99.84767708
22/05/2020,Belfast,1.5,6.5,64,3.7,27.7,15,30,1000,2.6,13,19.5,12,29/05/2020,43980Belfast,1299,340220,99.08466819
23/05/2020,Belfast,0.3,5,66,2.8,26.9,18,25,1010.5,0.6,11,15.6,9.2,30/05/2020,43981Belfast,1301,340220,100.1539646
24/05/2020,Belfast,0.3,9,82,3.2,26.4,17,30,1026.5,0.6,13,12.3,5.6,31/05/2020,43982Belfast,1303,340220,100.1537279
23/02/2020,Birmingham,,,,4.8,27.5,4,8,,0.7,,,,01/03/2020,43891Birmingham,1,1141816,0
24/02/2020,Birmingham,,,,3.6,26.3,4,8,,0.6,,,,02/03/2020,43892Birmingham,2,1141816,200
27/02/2020,Birmingham,,,84.3,11.9,23.1,10,23,1001.6,0.9,2.7,6.5,2,05/03/2020,43895Birmingham,3,1141816,150
01/03/2020,Birmingham,,,76.8,2,31.7,11,24,985.5,0.7,4.8,10.9,5.4,08/03/2020,43898Birmingham,4,1141816,133.3333333
02/03/2020,Birmingham,,,93.3,13.6,20,9,25,987,0.7,3.1,5.4,2.9,09/03/2020,43899Birmingham,5,1141816,125
03/03/2020,Birmingham,,,,11,24,13,29,,0.9,,,,10/03/2020,43900Birmingham,9,1141816,180
04/03/2020,Birmingham,,,91,16.9,17.5,9,24,1004.5,0.8,4.1,2.7,1.5,11/03/2020,43901Birmingham,15,1141816,166.6666667
