Date,Country,AreaCode,Area,TotalCases,Population
30/01/2020,London,,London,0,8961989
31/01/2020,London,,London,0,8961989
01/02/2020,London,,London,0,8961989
02/02/2020,London,,London,0,8961989
03/02/2020,London,,London,0,8961989
04/02/2020,London,,London,0,8961989
05/02/2020,London,,London,0,8961989
06/02/2020,London,,London,0,8961989
07/02/2020,London,,London,0,8961989
08/02/2020,London,,London,0,8961989
09/02/2020,London,,London,0,8961989
10/02/2020,London,,London,0,8961989
11/02/2020,London,,London,1,8961989
12/02/2020,Wales,W11000029,Cardiff,0,366903
12/02/2020,Wales,W11000031,Swansea,0,246993
12/02/2020,Wales,W11000028,Newport,0,154676
12/02/2020,London,,London,1,8961989
13/02/2020,Wales,W11000029,Cardiff,0,366903
13/02/2020,Wales,W11000031,Swansea,0,246993
13/02/2020,Wales,W11000028,Newport,0,154676
13/02/2020,London,,London,2,8961989
14/02/2020,Wales,W11000029,Cardiff,0,366903
14/02/2020,Wales,W11000031,Swansea,0,246993
14/02/2020,Wales,W11000028,Newport,0,154676
14/02/2020,London,,London,2,8961989
15/02/2020,Wales,W11000029,Cardiff,0,366903
15/02/2020,Wales,W11000031,Swansea,0,246993
15/02/2020,Wales,W11000028,Newport,0,154676
15/02/2020,London,,London,2,8961989
16/02/2020,Wales,W11000029,Cardiff,0,366903
16/02/2020,Wales,W11000031,Swansea,0,246993
16/02/2020,Wales,W11000028,Newport,0,154676
16/02/2020,London,,London,2,8961989
17/02/2020,Wales,W11000029,Cardiff,0,366903
17/02/2020,Wales,W11000031,Swansea,0,246993
17/02/2020,Wales,W11000028,Newport,0,154676
17/02/2020,London,,London,3,8961989
18/02/2020,Wales,W11000029,Cardiff,0,366903
18/02/2020,Wales,W11000031,Swansea,0,246993
18/02/2020,Wales,W11000028,Newport,0,154676
18/02/2020,London,,London,3,8961989
19/02/2020,Wales,W11000029,Cardiff,0,366903
19/02/2020,Wales,W11000031,Swansea,0,246993
19/02/2020,Wales,W11000028,Newport,0,154676
19/02/2020,London,,London,4,8961989
20/02/2020,Wales,W11000029,Cardiff,0,366903
20/02/2020,Wales,W11000031,Swansea,0,246993
20/02/2020,Wales,W11000028,Newport,0,154676
20/02/2020,London,,London,4,8961989
21/02/2020,Wales,W11000029,Cardiff,0,366903
21/02/2020,Wales,W11000031,Swansea,0,246993
21/02/2020,Wales,W11000028,Newport,0,154676
21/02/2020,London,,London,4,8961989
22/02/2020,Wales,W11000029,Cardiff,0,366903
22/02/2020,Wales,W11000031,Swansea,0,246993
22/02/2020,Wales,W11000028,Newport,0,154676
22/02/2020,London,,London,4,8961989
23/02/2020,Wales,W11000029,Cardiff,0,366903
23/02/2020,Wales,W11000031,Swansea,0,246993
23/02/2020,Wales,W11000028,Newport,0,154676
23/02/2020,London,,London,6,8961989
24/02/2020,Wales,W11000029,Cardiff,0,366903
24/02/2020,Wales,W11000031,Swansea,0,246993
24/02/2020,Wales,W11000028,Newport,0,154676
24/02/2020,London,,London,6,8961989
25/02/2020,Wales,W11000029,Cardiff,0,366903
25/02/2020,Wales,W11000031,Swansea,0,246993
25/02/2020,Wales,W11000028,Newport,0,154676
25/02/2020,London,,London,8,8961989
26/02/2020,Wales,W11000029,Cardiff,0,366903
26/02/2020,Wales,W11000031,Swansea,0,246993
26/02/2020,Wales,W11000028,Newport,0,154676
26/02/2020,London,,London,8,8961989
27/02/2020,Wales,W11000029,Cardiff,0,366903
27/02/2020,Wales,W11000031,Swansea,1,246993
27/02/2020,Wales,W11000028,Newport,0,154676
27/02/2020,London,,London,9,8961989
28/02/2020,England,E08000035,Leeds,1,793139
28/02/2020,Wales,W11000029,Cardiff,0,366903
28/02/2020,Wales,W11000031,Swansea,1,246993
28/02/2020,Wales,W11000028,Newport,0,154676
28/02/2020,London,,London,14,8961989
29/02/2020,England,E08000019,Sheffield,1,584853
29/02/2020,Wales,W11000029,Cardiff,0,366903
29/02/2020,Wales,W11000031,Swansea,1,246993
29/02/2020,Wales,W11000028,Newport,0,154676
29/02/2020,London,,London,15,8961989
01/03/2020,England,E08000025,Birmingham,1,1141816
01/03/2020,England,E08000035,Leeds,2,793139
01/03/2020,England,E08000019,Sheffield,2,584853
01/03/2020,Wales,W11000029,Cardiff,0,366903
01/03/2020,Wales,W11000031,Swansea,1,246993
01/03/2020,Wales,W11000028,Newport,0,154676
01/03/2020,London,,London,23,8961989
02/03/2020,England,E08000025,Birmingham,2,1141816
02/03/2020,England,E08000012,Liverpool,1,498042
02/03/2020,Wales,W11000029,Cardiff,0,366903
02/03/2020,Wales,W11000031,Swansea,1,246993
02/03/2020,Wales,W11000028,Newport,0,154676
02/03/2020,London,,London,35,8961989
03/03/2020,England,E06000023,Bristol,1,463377
03/03/2020,England,E08000012,Liverpool,3,498042
03/03/2020,England,E08000003,Manchester,1,552858
03/03/2020,England,E08000019,Sheffield,3,584853
03/03/2020,Wales,W11000029,Cardiff,0,366903
03/03/2020,Wales,W11000031,Swansea,1,246993
03/03/2020,Wales,W11000028,Newport,0,154676
03/03/2020,London,,London,41,8961989
04/03/2020,England,E08000035,Leeds,3,793139
04/03/2020,England,E06000032,Luton,2,213052
04/03/2020,England,E08000003,Manchester,2,552858
04/03/2020,England,E08000019,Sheffield,4,584853
04/03/2020,England,E06000033,Southend-on-Sea,1,183125
04/03/2020,Wales,W11000029,Cardiff,1,366903
04/03/2020,Wales,W11000031,Swansea,1,246993
04/03/2020,Wales,W11000028,Newport,0,154676
04/03/2020,London,,London,59,8961989
05/03/2020,England,E08000025,Birmingham,3,1141816
05/03/2020,England,E08000026,Coventry,1,371521
05/03/2020,England,E08000003,Manchester,4,552858
05/03/2020,England,E08000019,Sheffield,6,584853
05/03/2020,Wales,W11000029,Cardiff,1,366903
05/03/2020,Wales,W11000031,Swansea,1,246993
05/03/2020,Wales,W11000028,Newport,0,154676
05/03/2020,London,,London,73,8961989
