,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population
10,London,01/02/2020,8.9,19.5,15.0,31.0,75.0,1004.6,10.5,0.0,8961989.0
21,Birmingham,01/03/2020,2.0,31.7,11.0,24.0,76.8,985.5,4.8,1.0,1141816.0
23,Cardiff,01/03/2020,5.5,30.9,12.0,13.0,86.0,987.3,4.5,0.0,366903.0
27,Leeds,01/03/2020,4.9,28.5,10.0,26.0,65.6,980.5,5.0,2.0,793139.0
30,London,01/03/2020,7.5,22.9,11.0,23.0,73.5,988.4,6.1,23.0,8961989.0
32,Newport,01/03/2020,3.6,33.3,11.0,23.0,86.3,987.3,4.3,0.0,154676.0
37,Sheffield,01/03/2020,3.5,30.5,10.0,21.0,75.1,982.1,4.0,2.0,584853.0
39,Swansea,01/03/2020,3.7,31.7,16.0,25.0,79.8,982.2,6.0,1.0,246993.0
40,Belfast,01/04/2020,4.9,29.7,11.0,21.0,78.5,1024.5,8.0,200.0,340220.0
41,Birmingham,01/04/2020,7.5,28.3,10.0,24.0,75.0,1023.5,6.5,1173.0,1141816.0
42,Bristol,01/04/2020,9.6,22.4,15.0,38.0,73.2,1024.5,7.2,168.0,463377.0
43,Cardiff,01/04/2020,7.4,24.4,13.0,34.0,76.3,1024.4,6.6,630.0,366903.0
44,Coventry,01/04/2020,5.6,30.0,9.0,23.0,73.0,1023.0,6.3,234.0,371521.0
45,Edinburgh,01/04/2020,3.7,28.7,6.0,13.0,77.0,1019.8,7.5,311.0,524930.0
46,Glasgow,01/04/2020,4.0,30.1,7.0,17.0,76.9,1023.0,8.0,632.0,633120.0
47,Leeds,01/04/2020,5.7,28.1,11.0,25.0,72.8,1021.2,7.0,269.0,793139.0
48,Leicester,01/04/2020,7.3,21.9,11.0,35.0,79.5,1022.7,5.1,167.0,354224.0
49,Liverpool,01/04/2020,3.4,32.8,9.0,19.0,68.0,1022.1,7.7,395.0,498042.0
50,London,01/04/2020,14.3,19.7,14.0,36.0,64.3,1023.5,7.2,11071.0,8961989.0
52,Manchester,01/04/2020,6.0,28.1,13.0,24.0,80.2,1023.3,6.9,257.0,552858.0
53,Newport,01/04/2020,10.6,24.8,13.0,42.0,73.0,1021.8,6.6,918.0,154676.0
55,Plymouth,01/04/2020,3.6,29.3,11.0,30.0,71.4,1024.8,6.6,66.0,262100.0
57,Reading,01/04/2020,6.8,25.1,13.0,21.0,56.2,1023.0,7.3,96.0,161780.0
58,Sheffield,01/04/2020,5.8,29.7,10.0,30.0,75.3,1018.6,6.6,829.0,584853.0
59,Southend-on-Sea,01/04/2020,4.9,23.3,10.0,32.0,63.2,1023.9,7.2,103.0,183125.0
60,Swansea,01/04/2020,4.3,29.3,16.0,72.0,75.5,1025.8,7.0,288.0,246993.0
62,Birmingham,01/05/2020,3.5,25.4,6.0,15.0,86.7,997.4,8.3,2770.0,1141816.0
63,Bristol,01/05/2020,9.6,30.0,16.0,30.0,81.0,998.9,10.2,631.0,463377.0
64,Cardiff,01/05/2020,3.7,30.1,11.0,25.0,83.3,998.0,9.4,2299.0,366903.0
65,Coventry,01/05/2020,3.0,26.3,6.0,14.0,81.3,997.1,8.9,692.0,371521.0
66,Edinburgh,01/05/2020,5.5,28.5,9.0,25.0,83.4,994.8,8.7,2014.0,524930.0
67,Glasgow,01/05/2020,6.9,24.5,8.0,21.0,81.0,997.0,9.0,2864.0,633120.0
68,Leeds,01/05/2020,5.9,27.0,7.0,15.0,36.0,1165.8,9.6,1486.0,793139.0
