No,No1,City,Date,no2,o3,pm10,pm25,humidity,pressure,temperature,TotalCases,Population,daily_growth_rt_percent,daily_growth_abs_num,daily_growth_rt_by_popu_percent
1,2080,Belfast,26/03/2020,11.9,17.1,17,30,81,1026,7.5,75,340220,0.00,0.00,0.00
2,2162,Belfast,27/03/2020,8.3,15.5,14,21,87,1029,8,86,340220,114.67,11.00,33.70
3,2452,Belfast,31/03/2020,4.7,32.5,17,23,72.5,1036.5,7,166,340220,193.02,80.00,56.73
4,40,Belfast,01/04/2020,4.9,29.7,11,21,78.5,1024.5,8,200,340220,120.48,34.00,35.41
5,122,Belfast,02/04/2020,3.2,30.8,13,25,81,1014.5,8,226,340220,113.00,26.00,33.21
6,204,Belfast,03/04/2020,7.6,26.9,14,26,81,1015,8,272,340220,120.35,46.00,35.38
7,452,Belfast,06/04/2020,5.1,24.8,15,26,72.5,1011,10,377,340220,138.60,105.00,40.74
8,535,Belfast,07/04/2020,6.9,17.5,18,38,78,1025,8.5,396,340220,105.04,19.00,30.87
9,617,Belfast,08/04/2020,8.7,22.8,18,34,73.5,1024,10.5,429,340220,108.33,33.00,31.84
10,698,Belfast,09/04/2020,11,16.7,18,38,87,1025,10.5,482,340220,112.35,53.00,33.02
11,780,Belfast,10/04/2020,11.9,13.5,24,63,81.5,1022,12.5,514,340220,106.64,32.00,31.34
12,1189,Belfast,15/04/2020,9.6,22.8,25,56,78.5,1022.5,7.5,649,340220,126.26,135.00,37.11
13,1271,Belfast,16/04/2020,6,28.9,16,34,76,1018,10,689,340220,106.16,40.00,31.20
14,307,Belfast,04/05/2020,5.2,29.7,12,24,73.5,1022,10.5,1182,340220,171.55,493.00,50.42
15,390,Belfast,05/05/2020,4.9,30.1,10,21,70.5,1023,9,1190,340220,100.68,8.00,29.59
16,473,Belfast,06/05/2020,6,29.3,16,34,70,1025,10,1203,340220,101.09,13.00,29.71
17,556,Belfast,07/05/2020,11,33,20,46,82,1020,11.5,1217,340220,101.16,14.00,29.73
18,638,Belfast,08/05/2020,10.6,15.9,20,57,82,1017,14,1224,340220,100.58,7.00,29.56
19,719,Belfast,09/05/2020,8.7,14.3,14,42,76,1014,14,1237,340220,101.06,13.00,29.70
20,801,Belfast,10/05/2020,2.8,25.9,9,17,64,1018.5,9,1243,340220,100.49,6.00,29.54
21,882,Belfast,11/05/2020,4.2,26.4,10,13,56,1028,7,1248,340220,100.40,5.00,29.51
22,963,Belfast,12/05/2020,4.2,28.5,11,16,72.5,1021.5,8,1252,340220,100.32,4.00,29.49
23,1046,Belfast,13/05/2020,4.2,26.9,9,13,56,1022,6.5,1258,340220,100.48,6.00,29.53
24,1128,Belfast,14/05/2020,7.9,25.6,10,14,62,1025,9,1264,340220,100.48,6.00,29.53
25,1210,Belfast,15/05/2020,4.6,29.7,10,16,71,1026,10,1267,340220,100.24,3.00,29.46
26,1292,Belfast,16/05/2020,4.9,28.1,8,19,73.5,1023,10.5,1276,340220,100.71,9.00,29.60
27,1375,Belfast,17/05/2020,4.7,24,10,21,84,1019,12,1276,340220,100.00,0.00,29.39
